Date,Value
2015-11-10,1172.29
2015-11-09,1175.51
2015-11-06,1169.05
2015-11-05,1197.05
2015-11-04,1206.74
2015-11-03,1212.13
2015-11-02,1223.97
2015-10-30,1232.58
2015-10-29,1241.21
2015-10-28,1265.97
2015-10-27,1253.05
2015-10-26,1256.28
2015-10-23,1263.81
2015-10-22,1256.28
2015-10-21,1265.97
2015-10-20,1263.81
2015-10-19,1267.59
2015-10-16,1274.58
2015-10-15,1273.51
2015-10-14,1264.9
2015-10-13,1253.05
2015-10-12,1255.2
2015-10-09,1243.36
2015-10-08,1227.75
2015-10-07,1235.82
2015-10-06,1232.58
2015-10-05,1223.97
2015-10-02,1222.9
2015-10-01,1202.44
2015-09-30,1201.37
2015-09-29,1217.51
2015-09-28,1217.51
2015-09-25,1234.75
2015-09-24,1230.43
2015-09-23,1218.59
2015-09-22,1209.98
2015-09-21,1221.82
2015-09-19,1227.21
2015-09-18,1227.21
2015-09-17,1203.52
2015-09-16,1199.21
2015-09-15,1190.59
2015-09-14,1190.59
2015-09-13,1190.59
2015-09-12,1190.59
2015-09-11,1190.59
2015-09-10,1199.74
2015-09-09,1198.67
2015-09-08,1211.05
2015-09-06,1206.74
2015-09-05,1206.74
2015-09-04,1206.74
2015-09-03,1211.05
2015-09-02,1225.59
2015-09-01,1233.67
2015-08-31,1215.36
2015-08-30,1216.44
2015-08-29,1216.44
2015-08-28,1216.44
2015-08-27,1209.98
2015-08-26,1213.2
2015-08-25,1237.43
2015-08-24,1255.2
2015-08-23,1248.53
2015-08-21,1248.53
2015-08-20,1232.81
2015-08-19,1209.01
2015-08-18,1202.44
2015-08-17,1206.53
2015-08-14,1205.24
2015-08-13,1202.98
2015-08-12,1202.44
2015-08-11,1193.28
2015-08-10,1181.44
2015-08-07,1170.14
2015-08-06,1171.48
2015-08-05,1173.36
2015-08-04,1176.6
2015-08-03,1176.06
2015-07-31,1178.75
2015-07-30,1170.89
2015-07-29,1180.36
2015-07-28,1180.36
2015-07-27,1179.29
2015-07-24,1165.83
2015-07-23,1180.9
2015-07-22,1176.06
2015-07-21,1190.59
2015-07-20,1195.98
2015-07-17,1225.05
2015-07-16,1234.75
2015-07-15,1237.97
2015-07-14,1246.81
2015-07-13,1242.01
2015-07-10,1250.35
2015-07-09,1257.35
2015-07-08,1253.05
2015-07-07,1246.59
2015-07-06,1255.2
2015-07-02,1257.14
2015-07-01,1260.59
2015-06-30,1261.66
2015-06-29,1271.14
2015-06-26,1262.52
2015-06-25,1264.47
2015-06-24,1264.03
2015-06-23,1267.69
2015-06-22,1282.55
2015-06-19,1295.04
2015-06-18,1294.72
2015-06-17,1269.63
2015-06-16,1270.49
2015-06-15,1271.14
2015-06-12,1269.2
2015-06-11,1272.86
2015-06-10,1282.23
2015-06-09,1271.9
2015-06-08,1264.14
2015-06-05,1257.24
2015-06-04,1270.06
2015-06-03,1283.2
2015-06-02,1285.36
2015-06-01,1284.17
2015-05-29,1282.93
2015-05-28,1278.9
2015-05-27,1278.14
2015-05-26,1297.33
2015-05-22,1296.13
2015-05-21,1297.74
2015-05-20,1303.66
2015-05-19,1309.16
2015-05-18,1323.05
2015-05-15,1312.49
2015-05-14,1315.51
2015-05-13,1298.49
2015-05-12,1283.2
2015-05-11,1282.12
2015-05-08,1283.53
2015-05-07,1275.34
2015-05-06,1286.43
2015-05-05,1290.2
2015-05-04,1283.2
2015-05-01,1261.66
2015-04-30,1281.05
2015-04-29,1302.59
2015-04-28,1297.74
2015-04-27,1279.11
2015-04-24,1281.58
2015-04-23,1280.83
2015-04-22,1289.44
2015-04-21,1291.17
2015-04-20,1289.12
2015-04-17,1295.04
2015-04-16,1297.31
2015-04-15,1287.08
2015-04-14,1288.58
2015-04-13,1299.68
2015-04-10,1298.28
2015-04-09,1288.9
2015-04-08,1301.5
2015-04-07,1305.17
2015-04-06,1316.05
2015-04-03,1295.04
2015-04-02,1295.04
2015-04-01,1285.03
2015-03-31,1278.14
2015-03-30,1274.05
2015-03-27,1293.43
2015-03-26,1297.2
2015-03-25,1291.06
2015-03-24,1285.36
2015-03-23,1276.09
2015-03-20,1263.28
2015-03-19,1254.66
2015-03-18,1237.97
2015-03-17,1234.21
2015-03-16,1246.86
2015-03-13,1246.86
2015-03-12,1248.53
2015-03-11,1249.01
2015-03-10,1256.81
2015-03-09,1261.66
2015-03-06,1272.97
2015-03-05,1296.67
2015-03-04,1297.74
2015-03-03,1301.93
2015-03-02,1309.05
2015-02-27,1303.34
2015-02-26,1308.18
2015-02-25,1298.82
2015-02-24,1289.66
2015-02-23,1291.6
2015-02-20,1302.36
2015-02-19,1308.18
2015-02-18,1301.29
2015-02-17,1315.72
2015-02-13,1325.2
2015-02-12,1321.1
2015-02-11,1329.51
2015-02-10,1331.12
2015-02-09,1334.35
2015-02-06,1338.12
2015-02-05,1359.88
2015-02-04,1364.28
2015-02-03,1364.39
2015-02-02,1366.66
2015-01-30,1359.66
2015-01-29,1368.81
2015-01-28,1386.04
2015-01-27,1386.04
2015-01-26,1383.88
2015-01-23,1397.34
2015-01-22,1399.71
2015-01-21,1402.51
2015-01-20,1385.83
2015-01-16,1366.66
2015-01-15,1350.18
2015-01-14,1335.43
2015-01-13,1335.43
2015-01-12,1317.77
2015-01-09,1307.32
2015-01-08,1306.35
2015-01-07,1306.46
2015-01-06,1303.13
