Date,Value
2015-09-19,330.0
2015-09-18,330.0
2015-09-17,334.2
2015-09-16,339.8
2015-09-15,343.6
2015-09-14,339.3
2015-09-13,333.4
2015-09-12,333.4
2015-09-11,333.4
2015-09-10,332.0
2015-09-09,333.5
2015-09-08,333.5
2015-09-06,335.4
2015-09-05,335.4
2015-09-04,335.4
2015-09-03,338.0
2015-09-02,339.6
2015-09-01,339.4
2015-08-31,342.4
2015-08-30,344.4
2015-08-29,344.4
2015-08-28,344.4
2015-08-27,345.9
2015-08-26,349.4
2015-08-25,352.6
2015-08-24,351.4
2015-08-23,350.4
2015-08-21,350.4
2015-08-20,354.4
2015-08-19,349.0
2015-08-18,349.6
2015-08-17,350.4
2015-08-14,352.7
2015-08-13,354.9
2015-08-12,345.7
2015-08-11,366.2
2015-08-10,378.1
2015-08-07,376.1
2015-08-06,373.6
2015-08-05,378.6
2015-08-04,374.2
2015-08-03,374.9
2015-07-31,380.6
2015-07-30,383.1
2015-07-29,376.0
2015-07-28,367.7
2015-07-27,366.7
2015-07-24,377.3
2015-07-23,381.5
2015-07-22,386.0
2015-07-21,382.4
2015-07-20,378.5
2015-07-17,381.1
2015-07-16,383.6
2015-07-15,382.2
2015-07-14,377.2
2015-07-13,375.65
2015-07-10,374.6
2015-07-09,374.1
2015-07-08,362.8
2015-07-07,362.4
2015-07-06,367.9
2015-07-02,370.9
2015-07-01,373.3
2015-06-30,374.5
2015-06-29,355.4
2015-06-26,356.3
2015-06-25,351.7
2015-06-24,342.0
2015-06-23,346.9
2015-06-22,348.6
2015-06-19,338.1
2015-06-18,341.6
2015-06-17,338.7
2015-06-16,335.8
2015-06-15,328.2
2015-06-12,332.4
2015-06-11,328.4
2015-06-10,328.4
2015-06-09,330.5
2015-06-08,323.5
2015-06-05,315.4
2015-06-04,316.2
2015-06-03,313.7
2015-06-02,314.8
2015-06-01,309.6
2015-05-29,318.7
2015-05-28,317.8
2015-05-27,321.1
2015-05-26,314.9
2015-05-22,317.2
2015-05-21,319.1
2015-05-20,316.0
2015-05-19,317.6
2015-05-18,319.5
2015-05-15,314.8
2015-05-14,313.7
2015-05-13,312.4
2015-05-12,313.4
2015-05-11,321.2
2015-05-08,324.4
2015-05-07,325.4
2015-05-06,325.2
2015-05-05,331.6
2015-05-04,331.8
2015-05-01,330.7
2015-04-30,334.9
2015-04-29,341.2
2015-04-28,336.7
2015-04-27,333.1
2015-04-24,332.6
2015-04-23,334.6
2015-04-22,333.5
